epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,261.294,0.41838,0.77188,0.40019,0.95262,0,0.99771,0.96667,0.96561,0.93205,0.99771,0.96667,0.96561,0.9181,0.33627,0.57785,0.286,0.41264,0,0.0007724,0.0007724,0.0007724
64,264.758,0.4611,0.95728,0.44048,0.97769,0,0.9975,0.96667,0.96569,0.94929,0.9975,0.96667,0.96569,0.92306,0.30562,0.61277,0.25988,0.40519,0,0.0007526,0.0007526,0.0007526
65,267.966,0.42239,0.79725,0.39515,0.95329,0,1,0.96661,0.96569,0.92692,1,0.96661,0.96569,0.94063,0.27643,0.51921,0.27077,0.39918,0,0.0007328,0.0007328,0.0007328
66,271.361,0.48902,0.91775,0.44705,0.98554,0,0.99562,0.96667,0.96558,0.95093,0.99562,0.96667,0.96558,0.91558,0.24144,0.57147,0.26143,0.39094,0,0.000713,0.000713,0.000713
67,275.147,0.45965,0.87322,0.44879,0.97501,0,0.99661,0.96667,0.96576,0.94311,0.99661,0.96667,0.96576,0.94633,0.26834,0.49539,0.25887,0.39612,0,0.0006932,0.0006932,0.0006932
68,278.805,0.42505,0.80844,0.40694,0.96797,0,0.99721,0.96667,0.96589,0.94457,0.99721,0.96667,0.96589,0.93335,0.29233,0.43993,0.26034,0.40117,0,0.0006734,0.0006734,0.0006734
69,282.532,0.43552,0.78822,0.41633,0.96859,0,0.99404,0.96667,0.96588,0.95243,0.99404,0.96667,0.96588,0.94306,0.27187,0.5288,0.24186,0.40461,0,0.0006536,0.0006536,0.0006536
70,286.126,0.44208,0.83918,0.39456,0.97639,0,0.99554,0.96667,0.9658,0.9466,0.99554,0.96667,0.9658,0.93963,0.28552,0.58761,0.24831,0.40359,0,0.0006338,0.0006338,0.0006338
71,289.649,0.423,0.74641,0.38491,0.95688,0,1,0.9665,0.96562,0.93884,1,0.9665,0.96562,0.93167,0.24195,0.60061,0.24328,0.39139,0,0.000614,0.000614,0.000614
72,293.594,0.43943,0.88409,0.38841,0.96625,0,0.99731,0.96667,0.96587,0.93179,0.99731,0.96667,0.96587,0.94253,0.28481,0.55408,0.22403,0.40644,0,0.0005942,0.0005942,0.0005942
73,297.256,0.43639,0.83752,0.40101,0.96441,0,0.99561,0.96667,0.96621,0.92332,0.99561,0.96667,0.96621,0.94148,0.31529,0.5915,0.24037,0.41134,0,0.0005744,0.0005744,0.0005744
